processes: 2, threads: 1, L: 1, grid_size: 128, T: 1, time_grid_size: 512, steps: 20, error: 0.000448599, min: 5.75368, max: 5.75722, avg: 5.75545
processes: 2, threads: 2, L: 1, grid_size: 128, T: 1, time_grid_size: 512, steps: 20, error: 0.000448599, min: 2.96663, max: 2.96663, avg: 2.96663
processes: 2, threads: 4, L: 1, grid_size: 128, T: 1, time_grid_size: 512, steps: 20, error: 0.000448599, min: 1.6092, max: 1.61206, avg: 1.61063
processes: 2, threads: 8, L: 1, grid_size: 128, T: 1, time_grid_size: 512, steps: 20, error: 0.000448599, min: 0.820531, max: 0.82054, avg: 0.820536
processes: 4, threads: 1, L: 1, grid_size: 128, T: 1, time_grid_size: 512, steps: 20, error: 0.000448599, min: 3.41932, max: 3.42002, avg: 3.4198
processes: 4, threads: 2, L: 1, grid_size: 128, T: 1, time_grid_size: 512, steps: 20, error: 0.000448599, min: 1.80191, max: 1.80462, avg: 1.80352
processes: 4, threads: 4, L: 1, grid_size: 128, T: 1, time_grid_size: 512, steps: 20, error: 0.000448599, min: 0.973272, max: 0.973642, avg: 0.97342
processes: 4, threads: 8, L: 1, grid_size: 128, T: 1, time_grid_size: 512, steps: 20, error: 0.000448599, min: 0.686107, max: 0.688698, avg: 0.687729
processes: 8, threads: 1, L: 1, grid_size: 128, T: 1, time_grid_size: 512, steps: 20, error: 0.000448599, min: 1.96985, max: 1.9835, avg: 1.97584
processes: 8, threads: 2, L: 1, grid_size: 128, T: 1, time_grid_size: 512, steps: 20, error: 0.000448599, min: 1.12652, max: 1.13416, avg: 1.13005
processes: 8, threads: 4, L: 1, grid_size: 128, T: 1, time_grid_size: 512, steps: 20, error: 0.000448599, min: 0.757887, max: 0.762437, avg: 0.75928
processes: 8, threads: 8, L: 1, grid_size: 128, T: 1, time_grid_size: 512, steps: 20, error: 0.000448599, min: 0.491655, max: 0.500281, avg: 0.495242
processes: 2, threads: 1, L: 3.14159, grid_size: 128, T: 1, time_grid_size: 512, steps: 20, error: 5.84158e-05, min: 5.81249, max: 5.81249, avg: 5.81249
processes: 2, threads: 2, L: 3.14159, grid_size: 128, T: 1, time_grid_size: 512, steps: 20, error: 5.84158e-05, min: 3.03923, max: 3.04513, avg: 3.04218
processes: 2, threads: 4, L: 3.14159, grid_size: 128, T: 1, time_grid_size: 512, steps: 20, error: 5.84158e-05, min: 1.60346, max: 1.6043, avg: 1.60388
processes: 2, threads: 8, L: 3.14159, grid_size: 128, T: 1, time_grid_size: 512, steps: 20, error: 5.84158e-05, min: 0.823174, max: 0.823174, avg: 0.823174
processes: 4, threads: 1, L: 3.14159, grid_size: 128, T: 1, time_grid_size: 512, steps: 20, error: 5.84158e-05, min: 3.40752, max: 3.41165, avg: 3.41059
processes: 4, threads: 2, L: 3.14159, grid_size: 128, T: 1, time_grid_size: 512, steps: 20, error: 5.84158e-05, min: 1.74633, max: 1.74839, avg: 1.7475
processes: 4, threads: 4, L: 3.14159, grid_size: 128, T: 1, time_grid_size: 512, steps: 20, error: 5.84158e-05, min: 0.968632, max: 0.978182, avg: 0.973461
processes: 4, threads: 8, L: 3.14159, grid_size: 128, T: 1, time_grid_size: 512, steps: 20, error: 5.84158e-05, min: 0.668184, max: 0.673183, avg: 0.671671
processes: 8, threads: 1, L: 3.14159, grid_size: 128, T: 1, time_grid_size: 512, steps: 20, error: 5.84158e-05, min: 2.0104, max: 2.01373, avg: 2.0124
processes: 8, threads: 2, L: 3.14159, grid_size: 128, T: 1, time_grid_size: 512, steps: 20, error: 5.84158e-05, min: 1.04343, max: 1.04824, avg: 1.04601
processes: 8, threads: 4, L: 3.14159, grid_size: 128, T: 1, time_grid_size: 512, steps: 20, error: 5.84158e-05, min: 0.786489, max: 0.792501, avg: 0.789649
processes: 8, threads: 8, L: 3.14159, grid_size: 128, T: 1, time_grid_size: 512, steps: 20, error: 5.84158e-05, min: 0.4714, max: 0.471727, avg: 0.471609
processes: 2, threads: 1, L: 1, grid_size: 256, T: 1, time_grid_size: 512, steps: 20, error: 6.41112e-05, min: 46.161, max: 46.161, avg: 46.161
processes: 2, threads: 2, L: 1, grid_size: 256, T: 1, time_grid_size: 512, steps: 20, error: 6.41112e-05, min: 23.6649, max: 23.6649, avg: 23.6649
processes: 2, threads: 4, L: 1, grid_size: 256, T: 1, time_grid_size: 512, steps: 20, error: 6.41112e-05, min: 12.5373, max: 12.5407, avg: 12.539
processes: 2, threads: 8, L: 1, grid_size: 256, T: 1, time_grid_size: 512, steps: 20, error: 6.41112e-05, min: 6.49246, max: 6.509, avg: 6.50073
processes: 4, threads: 1, L: 1, grid_size: 256, T: 1, time_grid_size: 512, steps: 20, error: 6.41112e-05, min: 26.1755, max: 26.2143, avg: 26.2039
processes: 4, threads: 2, L: 1, grid_size: 256, T: 1, time_grid_size: 512, steps: 20, error: 6.41112e-05, min: 13.5933, max: 13.6023, avg: 13.5994
